store,product,type,promotion,validity,ori price,promo price
Tesco,Summer Pride Chopped Tomatoes 400G,South Asian Groceries,Any 3 for £1 Clubcard Price - Selected Summer Pride Tomatoes Peas Or Kidney Beans 400g,Offer valid for delivery from 21/05/2022 until 30/08/2022,0.4,0.4
Sainsbury,Sainsbury's Raspberries 150g,,Only £1.75: Save 25p,,,1.75
Sainsbury,"Sainsbury's Finely Sliced Yorkshire Dry Cured Cooked British Ham, Taste the Difference 120g",,Only £2.00: Save 75p,,,2.0
Sainsbury,Tanqueray London Dry Gin 70cl,,Only £16.00: Save £2.00,,,16.0
Sainsbury,Finish Quantum Ultimate Clean & Shine Dishwasher Tablets x70,,Only £9.30: Save £6.20,,,9.3
Sainsbury,Sure Invisible Pure Nonstop Protection Anti-Perspirant Deodorant Aerosol 150ml,,Only £1.50: Save £1.00,,,1.5
Sainsbury,Jordans Country Crisp with Delicious Chocolate & Hazelnut 500g,,Only £2.00: Save £1.30,,,2.0
Sainsbury,Ben & Jerry's Cookie Vermont-ster Sundae Chocolate Chip Ice Cream Tub 427ml,,Only £3.50: Save £1.50,,,3.5
Sainsbury,Kellogg's Special K Red Berries Breakfast Cereal 330g,,Only £2.50: Save 50p,,,2.5
Sainsbury,"Innocent Kids Smoothies, Strawberries, Raspberries & Apples 4x150ml",,Only £2.00: Save £1.30,,,2.0
Sainsbury,Pepsi Max Cans 24x330ml,,Only £8.00: Save £1.50,,,8.0
